warning: `VIRTUAL_ENV=/home/s.nanako/nanoGPT/.venv` does not match the project environment path `.venv` and will be ignored
/home/s.nanako/nanogpt/.venv/lib/python3.12/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
/home/s.nanako/nanogpt/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
wandb: Currently logged in as: nac-39 (nac-39-nagoya-univ-) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zvlytfeh
wandb: Tracking run with wandb version 0.22.3
wandb: Run data is saved locally in /home/s.nanako/nanogpt/wandb/run-20251110_184521-zvlytfeh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run no-ffn-gpt2_1762767916.4742754
wandb: ⭐️ View project at https://wandb.ai/nac-39-nagoya-univ-/no-ffn-gpt2
wandb: 🚀 View run at https://wandb.ai/nac-39-nagoya-univ-/no-ffn-gpt2/runs/zvlytfeh
Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py
import time

wandb_log = True
# wandb_project = 'owt'
# wandb_run_name='gpt2-124M'
wandb_project = "no-ffn-gpt2"
wandb_run_name = "no-ffn-gpt2" + "_" + str(time.time())
# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.58M
num decayed parameter tensors: 62, with 124,354,560 parameters
num non-decayed parameter tensors: 13, with 9,984 parameters
iter 43400: loss 3.0064, time 5127.47ms, mfu 26.22%
iter 43410: loss 3.2625, time 5131.61ms, mfu 26.22%
iter 43420: loss 3.3159, time 5105.42ms, mfu 26.23%
iter 43430: loss 3.3175, time 5098.76ms, mfu 26.25%
iter 43440: loss 3.1635, time 5106.81ms, mfu 26.26%
iter 43450: loss 3.0812, time 5105.30ms, mfu 26.27%
iter 43460: loss 3.0717, time 5125.11ms, mfu 26.27%
iter 43470: loss 3.0215, time 5137.18ms, mfu 26.27%
iter 43480: loss 3.1666, time 5139.72ms, mfu 26.26%
iter 43490: loss 3.1282, time 5144.07ms, mfu 26.25%
iter 43500: loss 3.3139, time 5146.68ms, mfu 26.24%
iter 43510: loss 3.1212, time 5141.98ms, mfu 26.24%
iter 43520: loss 3.1755, time 5131.88ms, mfu 26.24%
iter 43530: loss 2.9070, time 5139.89ms, mfu 26.23%
iter 43540: loss 3.1397, time 5149.77ms, mfu 26.23%
iter 43550: loss 3.2307, time 5132.09ms, mfu 26.23%
iter 43560: loss 3.3329, time 5142.15ms, mfu 26.22%
iter 43570: loss 3.1246, time 5117.33ms, mfu 26.23%
iter 43580: loss 3.3181, time 5134.12ms, mfu 26.23%
iter 43590: loss 3.1616, time 5121.68ms, mfu 26.24%
iter 43600: loss 2.9986, time 5131.84ms, mfu 26.24%
iter 43610: loss 3.1561, time 5123.52ms, mfu 26.24%
iter 43620: loss 3.2321, time 5123.35ms, mfu 26.25%
iter 43630: loss 3.2790, time 5123.16ms, mfu 26.25%
iter 43640: loss 3.1753, time 5139.11ms, mfu 26.24%
iter 43650: loss 3.2898, time 5148.77ms, mfu 26.24%
iter 43660: loss 3.1823, time 5156.64ms, mfu 26.22%
iter 43670: loss 3.1051, time 5150.47ms, mfu 26.21%
iter 43680: loss 3.3054, time 5152.24ms, mfu 26.21%
iter 43690: loss 3.1342, time 5153.87ms, mfu 26.20%
iter 43700: loss 3.1562, time 5157.51ms, mfu 26.19%
iter 43710: loss 3.1475, time 5152.56ms, mfu 26.18%
iter 43720: loss 3.0517, time 5164.59ms, mfu 26.17%
iter 43730: loss 3.2082, time 5161.68ms, mfu 26.16%
iter 43740: loss 3.1595, time 5163.24ms, mfu 26.16%
iter 43750: loss 3.0802, time 5183.56ms, mfu 26.14%
iter 43760: loss 3.1734, time 5170.52ms, mfu 26.13%
iter 43770: loss 3.0554, time 5168.15ms, mfu 26.12%
iter 43780: loss 3.0021, time 5158.18ms, mfu 26.12%
iter 43790: loss 3.1496, time 5142.85ms, mfu 26.13%
iter 43800: loss 3.1221, time 5168.73ms, mfu 26.12%
iter 43810: loss 3.2242, time 5161.63ms, mfu 26.11%
iter 43820: loss 3.2304, time 5165.73ms, mfu 26.11%
iter 43830: loss 3.1471, time 5157.23ms, mfu 26.11%
iter 43840: loss 3.1515, time 5165.84ms, mfu 26.11%
iter 43850: loss 3.1777, time 5159.64ms, mfu 26.10%
iter 43860: loss 3.2118, time 5151.67ms, mfu 26.11%
iter 43870: loss 3.0359, time 5160.02ms, mfu 26.11%
iter 43880: loss 3.2112, time 5152.36ms, mfu 26.11%
iter 43890: loss 3.0796, time 5125.04ms, mfu 26.13%
iter 43900: loss 3.1306, time 5124.56ms, mfu 26.14%
iter 43910: loss 3.3012, time 5125.22ms, mfu 26.15%
iter 43920: loss 3.3353, time 5123.60ms, mfu 26.17%
iter 43930: loss 3.1930, time 5115.83ms, mfu 26.18%
iter 43940: loss 3.0669, time 5131.97ms, mfu 26.19%
iter 43950: loss 3.1885, time 5113.61ms, mfu 26.20%
iter 43960: loss 3.1636, time 5110.68ms, mfu 26.22%
iter 43970: loss 3.1783, time 5123.62ms, mfu 26.22%
iter 43980: loss 3.1255, time 5118.46ms, mfu 26.23%
iter 43990: loss 3.1327, time 5131.62ms, mfu 26.23%
step 44000: train loss 3.1876, val loss 3.1869
saving checkpoint to out
iter 44000: loss 3.3302, time 30869.75ms, mfu 24.04%
iter 44010: loss 3.2344, time 5131.35ms, mfu 24.26%
iter 44020: loss 3.2340, time 5142.55ms, mfu 24.46%
iter 44030: loss 3.2490, time 5144.53ms, mfu 24.63%
iter 44040: loss 3.1941, time 5149.37ms, mfu 24.78%
iter 44050: loss 3.2114, time 5151.69ms, mfu 24.92%
iter 44060: loss 3.2377, time 5156.65ms, mfu 25.04%
iter 44070: loss 3.1783, time 5157.65ms, mfu 25.14%
iter 44080: loss 2.8543, time 5150.31ms, mfu 25.24%
iter 44090: loss 3.4078, time 5143.55ms, mfu 25.34%
iter 44100: loss 3.1734, time 5134.25ms, mfu 25.43%
iter 44110: loss 3.0017, time 5107.19ms, mfu 25.52%
iter 44120: loss 3.3389, time 5119.08ms, mfu 25.60%
iter 44130: loss 3.1276, time 5113.00ms, mfu 25.67%
iter 44140: loss 3.3936, time 5115.95ms, mfu 25.74%
iter 44150: loss 3.0895, time 5136.97ms, mfu 25.78%
iter 44160: loss 3.1888, time 5141.43ms, mfu 25.82%
iter 44170: loss 3.2548, time 5147.84ms, mfu 25.86%
iter 44180: loss 3.0453, time 5147.74ms, mfu 25.89%
iter 44190: loss 3.1640, time 5143.61ms, mfu 25.92%
iter 44200: loss 2.9772, time 5160.10ms, mfu 25.93%
iter 44210: loss 3.2621, time 5145.01ms, mfu 25.96%
iter 44220: loss 3.2166, time 5142.41ms, mfu 25.98%
iter 44230: loss 3.2634, time 5159.78ms, mfu 25.99%
iter 44240: loss 3.2110, time 5168.37ms, mfu 26.00%
iter 44250: loss 3.1619, time 5154.59ms, mfu 26.01%
iter 44260: loss 3.1925, time 5156.09ms, mfu 26.02%
iter 44270: loss 3.0419, time 5145.35ms, mfu 26.04%
iter 44280: loss 3.2443, time 5152.93ms, mfu 26.05%
iter 44290: loss 3.2252, time 5165.27ms, mfu 26.05%
iter 44300: loss 3.0882, time 5173.54ms, mfu 26.05%
iter 44310: loss 3.2977, time 5169.36ms, mfu 26.05%
iter 44320: loss 3.1490, time 5164.44ms, mfu 26.05%
iter 44330: loss 3.1181, time 5166.56ms, mfu 26.05%
iter 44340: loss 3.1394, time 5171.76ms, mfu 26.05%
iter 44350: loss 3.2559, time 5148.24ms, mfu 26.06%
iter 44360: loss 3.1172, time 5150.32ms, mfu 26.07%
iter 44370: loss 3.2104, time 5125.27ms, mfu 26.09%
iter 44380: loss 3.2014, time 5109.57ms, mfu 26.11%
iter 44390: loss 3.1852, time 5130.47ms, mfu 26.13%
iter 44400: loss 3.0245, time 5145.77ms, mfu 26.13%
iter 44410: loss 3.1346, time 5134.07ms, mfu 26.14%
iter 44420: loss 3.0553, time 5140.21ms, mfu 26.15%
iter 44430: loss 3.1045, time 5152.23ms, mfu 26.15%
iter 44440: loss 3.2841, time 5144.53ms, mfu 26.15%
iter 44450: loss 3.3171, time 5159.11ms, mfu 26.14%
iter 44460: loss 2.9553, time 5140.70ms, mfu 26.15%
iter 44470: loss 3.1661, time 5152.72ms, mfu 26.15%
iter 44480: loss 3.1990, time 5161.75ms, mfu 26.14%
iter 44490: loss 3.2582, time 5151.95ms, mfu 26.14%
iter 44500: loss 3.0715, time 5157.40ms, mfu 26.14%
iter 44510: loss 3.0987, time 5163.46ms, mfu 26.13%
iter 44520: loss 3.2346, time 5158.61ms, mfu 26.13%
iter 44530: loss 2.9800, time 5152.80ms, mfu 26.13%
iter 44540: loss 3.1099, time 5144.81ms, mfu 26.13%
iter 44550: loss 3.0280, time 5129.29ms, mfu 26.14%
iter 44560: loss 3.4507, time 5119.86ms, mfu 26.16%
iter 44570: loss 3.3640, time 5105.90ms, mfu 26.18%
iter 44580: loss 3.0879, time 5127.69ms, mfu 26.19%
iter 44590: loss 3.0646, time 5132.50ms, mfu 26.19%
iter 44600: loss 3.4305, time 5142.96ms, mfu 26.19%
iter 44610: loss 3.1110, time 5148.10ms, mfu 26.19%
iter 44620: loss 3.0286, time 5154.33ms, mfu 26.18%
iter 44630: loss 3.1716, time 5124.49ms, mfu 26.19%
iter 44640: loss 2.9814, time 5109.99ms, mfu 26.21%
iter 44650: loss 3.2842, time 5103.30ms, mfu 26.23%
iter 44660: loss 3.0925, time 5099.16ms, mfu 26.24%
iter 44670: loss 3.2660, time 5108.82ms, mfu 26.25%
iter 44680: loss 3.0091, time 5095.49ms, mfu 26.27%
iter 44690: loss 3.1627, time 5089.98ms, mfu 26.29%
iter 44700: loss 3.0815, time 5098.25ms, mfu 26.30%
iter 44710: loss 3.3178, time 5099.26ms, mfu 26.31%
iter 44720: loss 3.2114, time 5094.42ms, mfu 26.32%
iter 44730: loss 3.1598, time 5103.49ms, mfu 26.33%
iter 44740: loss 3.3418, time 5100.13ms, mfu 26.34%
iter 44750: loss 3.3615, time 5088.21ms, mfu 26.35%
iter 44760: loss 3.3323, time 5096.64ms, mfu 26.36%
iter 44770: loss 3.1308, time 5096.31ms, mfu 26.36%
iter 44780: loss 3.1540, time 5095.64ms, mfu 26.37%
iter 44790: loss 3.2309, time 5091.59ms, mfu 26.38%
iter 44800: loss 3.2241, time 5086.69ms, mfu 26.39%
iter 44810: loss 3.1069, time 5090.48ms, mfu 26.39%
iter 44820: loss 3.2596, time 5089.72ms, mfu 26.40%
iter 44830: loss 3.1208, time 5091.82ms, mfu 26.40%
iter 44840: loss 3.1092, time 5093.02ms, mfu 26.41%
iter 44850: loss 2.9650, time 5106.94ms, mfu 26.40%
iter 44860: loss 3.1550, time 5097.38ms, mfu 26.40%
iter 44870: loss 3.1960, time 5101.17ms, mfu 26.40%
iter 44880: loss 3.1326, time 5105.50ms, mfu 26.40%
iter 44890: loss 3.2083, time 5098.88ms, mfu 26.40%
iter 44900: loss 3.0484, time 5096.46ms, mfu 26.40%
iter 44910: loss 3.1847, time 5103.86ms, mfu 26.40%
iter 44920: loss 3.2039, time 5087.37ms, mfu 26.41%
iter 44930: loss 3.2901, time 5090.63ms, mfu 26.41%
iter 44940: loss 3.3545, time 5096.00ms, mfu 26.41%
iter 44950: loss 3.1462, time 5101.88ms, mfu 26.41%
iter 44960: loss 3.1400, time 5083.68ms, mfu 26.42%
iter 44970: loss 3.1714, time 5091.99ms, mfu 26.42%
iter 44980: loss 3.2785, time 5099.51ms, mfu 26.42%
iter 44990: loss 3.1293, time 5102.89ms, mfu 26.42%
step 45000: train loss 3.1703, val loss 3.1944
saving checkpoint to out
iter 45000: loss 3.2544, time 30805.98ms, mfu 24.21%
iter 45010: loss 3.1577, time 5100.11ms, mfu 24.43%
iter 45020: loss 3.2924, time 5097.51ms, mfu 24.63%
iter 45030: loss 3.2604, time 5100.44ms, mfu 24.81%
iter 45040: loss 3.5409, time 5106.27ms, mfu 24.96%
iter 45050: loss 3.2491, time 5110.00ms, mfu 25.10%
iter 45060: loss 3.1410, time 5108.35ms, mfu 25.23%
iter 45070: loss 3.0171, time 5098.37ms, mfu 25.35%
iter 45080: loss 3.0396, time 5103.42ms, mfu 25.45%
iter 45090: loss 3.4089, time 5093.31ms, mfu 25.55%
iter 45100: loss 3.2988, time 5088.09ms, mfu 25.64%
iter 45110: loss 3.1770, time 5085.02ms, mfu 25.72%
iter 45120: loss 3.1688, time 5073.97ms, mfu 25.81%
iter 45130: loss 3.1668, time 5070.31ms, mfu 25.88%
iter 45140: loss 3.2950, time 5084.62ms, mfu 25.94%
iter 45150: loss 3.1518, time 5089.12ms, mfu 25.99%
iter 45160: loss 3.4795, time 5094.59ms, mfu 26.04%
iter 45170: loss 3.3366, time 5095.58ms, mfu 26.07%
iter 45180: loss 3.1447, time 5081.42ms, mfu 26.12%
iter 45190: loss 3.1576, time 5102.10ms, mfu 26.14%
iter 45200: loss 3.0383, time 5091.06ms, mfu 26.18%
iter 45210: loss 3.0842, time 5097.18ms, mfu 26.20%
iter 45220: loss 3.2711, time 5094.25ms, mfu 26.22%
iter 45230: loss 3.1543, time 5105.44ms, mfu 26.24%
iter 45240: loss 3.2322, time 5103.39ms, mfu 26.25%
iter 45250: loss 3.4276, time 5091.36ms, mfu 26.27%
iter 45260: loss 3.2658, time 5099.80ms, mfu 26.28%
iter 45270: loss 3.2881, time 5095.40ms, mfu 26.30%
iter 45280: loss 3.0563, time 5103.96ms, mfu 26.31%
iter 45290: loss 3.1530, time 5092.94ms, mfu 26.32%
iter 45300: loss 3.0990, time 5103.21ms, mfu 26.33%
iter 45310: loss 3.0525, time 5094.01ms, mfu 26.34%
iter 45320: loss 3.2494, time 5112.50ms, mfu 26.34%
iter 45330: loss 2.9284, time 5096.44ms, mfu 26.35%
iter 45340: loss 3.3324, time 5100.76ms, mfu 26.35%
iter 45350: loss 3.2813, time 5096.28ms, mfu 26.36%
iter 45360: loss 3.0858, time 5093.46ms, mfu 26.37%
iter 45370: loss 3.1761, time 5090.96ms, mfu 26.37%
iter 45380: loss 3.2291, time 5100.11ms, mfu 26.38%
iter 45390: loss 3.1735, time 5092.45ms, mfu 26.38%
iter 45400: loss 3.3149, time 5089.46ms, mfu 26.39%
iter 45410: loss 3.0916, time 5102.92ms, mfu 26.39%
iter 45420: loss 3.1514, time 5092.52ms, mfu 26.40%
iter 45430: loss 3.1695, time 5103.01ms, mfu 26.39%
iter 45440: loss 3.1434, time 5104.18ms, mfu 26.39%
iter 45450: loss 3.2352, time 5102.80ms, mfu 26.39%
iter 45460: loss 3.2905, time 5104.02ms, mfu 26.39%
iter 45470: loss 3.1326, time 5100.82ms, mfu 26.39%
iter 45480: loss 3.2089, time 5098.20ms, mfu 26.39%
iter 45490: loss 3.2905, time 5102.18ms, mfu 26.39%
iter 45500: loss 3.2912, time 5098.53ms, mfu 26.40%
iter 45510: loss 2.8843, time 5105.23ms, mfu 26.39%
iter 45520: loss 3.2292, time 5096.79ms, mfu 26.40%
iter 45530: loss 3.0138, time 5115.53ms, mfu 26.39%
iter 45540: loss 3.2979, time 5103.69ms, mfu 26.39%
iter 45550: loss 3.2916, time 5098.05ms, mfu 26.39%
iter 45560: loss 3.2376, time 5086.95ms, mfu 26.40%
iter 45570: loss 3.2464, time 5089.01ms, mfu 26.40%
iter 45580: loss 3.1543, time 5100.65ms, mfu 26.40%
iter 45590: loss 3.1120, time 5096.24ms, mfu 26.41%
iter 45600: loss 2.9663, time 5101.46ms, mfu 26.40%
iter 45610: loss 3.1188, time 5091.92ms, mfu 26.41%
iter 45620: loss 3.2321, time 5087.78ms, mfu 26.41%
iter 45630: loss 3.0661, time 5085.27ms, mfu 26.42%
iter 45640: loss 3.1365, time 5087.51ms, mfu 26.43%
iter 45650: loss 3.1955, time 5085.68ms, mfu 26.43%
iter 45660: loss 3.2409, time 5098.09ms, mfu 26.43%
iter 45670: loss 3.1090, time 5107.23ms, mfu 26.42%
iter 45680: loss 3.3018, time 5105.60ms, mfu 26.42%
iter 45690: loss 3.2460, time 5089.25ms, mfu 26.42%
iter 45700: loss 3.2610, time 5093.72ms, mfu 26.42%
iter 45710: loss 3.1164, time 5102.67ms, mfu 26.42%
iter 45720: loss 3.3190, time 5109.66ms, mfu 26.41%
iter 45730: loss 3.2994, time 5098.06ms, mfu 26.41%
iter 45740: loss 3.1752, time 5104.21ms, mfu 26.41%
iter 45750: loss 3.0781, time 5097.26ms, mfu 26.41%
iter 45760: loss 3.2888, time 5109.04ms, mfu 26.40%
iter 45770: loss 3.1976, time 5099.73ms, mfu 26.40%
iter 45780: loss 3.1834, time 5101.98ms, mfu 26.40%
iter 45790: loss 3.2659, time 5105.25ms, mfu 26.40%
iter 45800: loss 3.0928, time 5100.91ms, mfu 26.40%
iter 45810: loss 3.3790, time 5099.71ms, mfu 26.40%
iter 45820: loss 3.1636, time 5100.15ms, mfu 26.40%
iter 45830: loss 3.1284, time 5089.54ms, mfu 26.41%
iter 45840: loss 3.2714, time 5093.36ms, mfu 26.41%
iter 45850: loss 3.1239, time 5092.07ms, mfu 26.41%
iter 45860: loss 3.1914, time 5089.48ms, mfu 26.42%
iter 45870: loss 3.2130, time 5086.79ms, mfu 26.42%
iter 45880: loss 3.1207, time 5088.43ms, mfu 26.43%
iter 45890: loss 3.1111, time 5078.72ms, mfu 26.43%
iter 45900: loss 3.2311, time 5090.85ms, mfu 26.44%
iter 45910: loss 3.0608, time 5096.63ms, mfu 26.43%
iter 45920: loss 3.2901, time 5084.88ms, mfu 26.44%
iter 45930: loss 3.2021, time 5090.11ms, mfu 26.44%
iter 45940: loss 3.3617, time 5089.78ms, mfu 26.44%
iter 45950: loss 3.2187, time 5096.48ms, mfu 26.44%
iter 45960: loss 3.1241, time 5093.49ms, mfu 26.44%
iter 45970: loss 3.2833, time 5085.84ms, mfu 26.44%
iter 45980: loss 3.2378, time 5086.14ms, mfu 26.45%
iter 45990: loss 3.2932, time 5091.77ms, mfu 26.45%
step 46000: train loss 3.1863, val loss 3.1901
saving checkpoint to out
iter 46000: loss 3.3315, time 31034.23ms, mfu 24.24%
iter 46010: loss 3.1727, time 5094.18ms, mfu 24.46%
iter 46020: loss 3.1905, time 5089.93ms, mfu 24.65%
iter 46030: loss 3.1969, time 5094.95ms, mfu 24.83%
iter 46040: loss 3.2003, time 5094.87ms, mfu 24.99%
iter 46050: loss 3.2743, time 5083.51ms, mfu 25.14%
iter 46060: loss 3.2841, time 5095.60ms, mfu 25.27%
iter 46070: loss 3.1331, time 5104.14ms, mfu 25.38%
iter 46080: loss 3.3883, time 5085.19ms, mfu 25.49%
iter 46090: loss 3.1436, time 5103.30ms, mfu 25.58%
iter 46100: loss 3.2736, time 5099.63ms, mfu 25.66%
iter 46110: loss 3.1341, time 5099.69ms, mfu 25.74%
iter 46120: loss 3.3367, time 5092.67ms, mfu 25.81%
iter 46130: loss 3.1962, time 5097.18ms, mfu 25.87%
iter 46140: loss 3.3715, time 5091.96ms, mfu 25.93%
iter 46150: loss 3.3136, time 5111.55ms, mfu 25.97%
iter 46160: loss 3.0587, time 5103.90ms, mfu 26.01%
iter 46170: loss 3.1171, time 5093.44ms, mfu 26.05%
iter 46180: loss 3.0613, time 5107.43ms, mfu 26.08%
iter 46190: loss 3.0675, time 5095.72ms, mfu 26.12%
iter 46200: loss 3.0865, time 5097.19ms, mfu 26.15%
iter 46210: loss 3.1316, time 5088.16ms, mfu 26.18%
iter 46220: loss 3.2854, time 5090.45ms, mfu 26.21%
iter 46230: loss 3.2089, time 5106.86ms, mfu 26.22%
iter 46240: loss 3.0069, time 5109.21ms, mfu 26.24%
iter 46250: loss 3.0919, time 5103.57ms, mfu 26.25%
iter 46260: loss 3.1332, time 5098.61ms, mfu 26.27%
iter 46270: loss 3.1550, time 5097.98ms, mfu 26.28%
iter 46280: loss 3.2071, time 5100.08ms, mfu 26.29%
iter 46290: loss 3.1378, time 5098.51ms, mfu 26.30%
iter 46300: loss 3.1639, time 5094.97ms, mfu 26.32%
iter 46310: loss 3.3881, time 5091.48ms, mfu 26.33%
iter 46320: loss 3.3877, time 5089.44ms, mfu 26.34%
iter 46330: loss 3.0821, time 5096.55ms, mfu 26.35%
iter 46340: loss 3.3261, time 5101.19ms, mfu 26.35%
iter 46350: loss 3.0785, time 5094.96ms, mfu 26.36%
iter 46360: loss 3.4014, time 5115.44ms, mfu 26.36%
iter 46370: loss 3.3023, time 5115.67ms, mfu 26.35%
iter 46380: loss 3.2555, time 5114.55ms, mfu 26.35%
iter 46390: loss 3.0407, time 5099.75ms, mfu 26.36%
iter 46400: loss 3.2476, time 5116.17ms, mfu 26.35%
iter 46410: loss 3.0333, time 5100.16ms, mfu 26.36%
iter 46420: loss 3.0489, time 5097.84ms, mfu 26.36%
iter 46430: loss 3.2255, time 5108.67ms, mfu 26.36%
iter 46440: loss 3.0700, time 5110.07ms, mfu 26.36%
iter 46450: loss 3.1333, time 5109.14ms, mfu 26.36%
iter 46460: loss 2.9927, time 5098.00ms, mfu 26.37%
iter 46470: loss 3.2472, time 5099.93ms, mfu 26.37%
iter 46480: loss 3.1433, time 5103.83ms, mfu 26.37%
iter 46490: loss 3.0732, time 5110.83ms, mfu 26.37%
iter 46500: loss 3.2811, time 5094.95ms, mfu 26.37%
iter 46510: loss 3.3040, time 5101.03ms, mfu 26.38%
iter 46520: loss 3.1344, time 5122.41ms, mfu 26.37%
iter 46530: loss 3.1718, time 5110.46ms, mfu 26.37%
iter 46540: loss 3.3123, time 5124.69ms, mfu 26.36%
iter 46550: loss 3.0577, time 5120.15ms, mfu 26.35%
iter 46560: loss 3.1996, time 5114.72ms, mfu 26.35%
iter 46570: loss 3.1611, time 5107.14ms, mfu 26.35%
iter 46580: loss 3.2664, time 5102.50ms, mfu 26.35%
iter 46590: loss 3.1465, time 5090.26ms, mfu 26.36%
iter 46600: loss 3.2115, time 5088.78ms, mfu 26.37%
iter 46610: loss 2.8629, time 5101.64ms, mfu 26.38%
iter 46620: loss 3.1524, time 5094.76ms, mfu 26.38%
iter 46630: loss 3.3578, time 5094.46ms, mfu 26.39%
iter 46640: loss 3.2287, time 5097.23ms, mfu 26.39%
iter 46650: loss 3.0202, time 5091.08ms, mfu 26.39%
iter 46660: loss 3.3073, time 5097.63ms, mfu 26.40%
iter 46670: loss 3.2041, time 5092.43ms, mfu 26.40%
iter 46680: loss 3.0139, time 5104.80ms, mfu 26.40%
iter 46690: loss 3.2832, time 5092.01ms, mfu 26.40%
iter 46700: loss 3.2546, time 5093.05ms, mfu 26.41%
iter 46710: loss 2.9964, time 5102.92ms, mfu 26.40%
iter 46720: loss 3.2431, time 5105.84ms, mfu 26.40%
iter 46730: loss 3.1618, time 5104.25ms, mfu 26.40%
iter 46740: loss 3.2007, time 5118.78ms, mfu 26.39%
iter 46750: loss 3.3805, time 5108.13ms, mfu 26.39%
iter 46760: loss 3.2703, time 5102.98ms, mfu 26.39%
iter 46770: loss 3.3822, time 5091.07ms, mfu 26.39%
iter 46780: loss 3.1488, time 5082.39ms, mfu 26.40%
iter 46790: loss 2.9233, time 5104.59ms, mfu 26.40%
iter 46800: loss 3.0741, time 5103.35ms, mfu 26.40%
iter 46810: loss 3.2697, time 5086.73ms, mfu 26.41%
iter 46820: loss 3.1257, time 5098.18ms, mfu 26.41%
iter 46830: loss 2.9995, time 5097.30ms, mfu 26.41%
iter 46840: loss 2.7669, time 5099.62ms, mfu 26.41%
iter 46850: loss 3.1122, time 5105.00ms, mfu 26.40%
iter 46860: loss 3.3090, time 5097.33ms, mfu 26.41%
iter 46870: loss 3.1733, time 5098.27ms, mfu 26.41%
iter 46880: loss 3.2556, time 5102.17ms, mfu 26.40%
iter 46890: loss 3.2330, time 5108.10ms, mfu 26.40%
iter 46900: loss 3.2063, time 5108.81ms, mfu 26.40%
iter 46910: loss 3.2819, time 5112.29ms, mfu 26.39%
iter 46920: loss 3.2455, time 5112.79ms, mfu 26.38%
iter 46930: loss 3.3568, time 5107.33ms, mfu 26.38%
iter 46940: loss 3.1287, time 5100.32ms, mfu 26.38%
iter 46950: loss 3.1404, time 5101.15ms, mfu 26.39%
iter 46960: loss 3.2583, time 5095.08ms, mfu 26.39%
iter 46970: loss 3.2866, time 5091.14ms, mfu 26.40%
iter 46980: loss 3.2779, time 5103.68ms, mfu 26.39%
iter 46990: loss 3.2588, time 5103.64ms, mfu 26.39%
step 47000: train loss 3.1625, val loss 3.1925
saving checkpoint to out
iter 47000: loss 3.0510, time 30895.03ms, mfu 24.19%
iter 47010: loss 3.1414, time 5100.76ms, mfu 24.41%
iter 47020: loss 3.1354, time 5096.66ms, mfu 24.61%
iter 47030: loss 3.2090, time 5101.31ms, mfu 24.79%
iter 47040: loss 3.2305, time 5102.08ms, mfu 24.95%
iter 47050: loss 3.1128, time 5103.38ms, mfu 25.09%
iter 47060: loss 2.9952, time 5117.46ms, mfu 25.22%
iter 47070: loss 3.1048, time 5100.88ms, mfu 25.33%
iter 47080: loss 3.0206, time 5108.62ms, mfu 25.44%
iter 47090: loss 3.2757, time 5106.59ms, mfu 25.53%
iter 47100: loss 3.0947, time 5108.09ms, mfu 25.61%
iter 47110: loss 3.3755, time 5121.19ms, mfu 25.68%
iter 47120: loss 3.2243, time 5102.78ms, mfu 25.75%
iter 47130: loss 3.1671, time 5099.40ms, mfu 25.82%
iter 47140: loss 3.3467, time 5092.61ms, mfu 25.88%
iter 47150: loss 3.1835, time 5098.96ms, mfu 25.93%
iter 47160: loss 3.3250, time 5105.78ms, mfu 25.98%
iter 47170: loss 3.3130, time 5097.57ms, mfu 26.02%
iter 47180: loss 3.1039, time 5094.47ms, mfu 26.06%
iter 47190: loss 3.2245, time 5111.96ms, mfu 26.09%
iter 47200: loss 3.3434, time 5101.43ms, mfu 26.12%
iter 47210: loss 3.2796, time 5103.32ms, mfu 26.15%
iter 47220: loss 3.2424, time 5096.81ms, mfu 26.17%
iter 47230: loss 2.9059, time 5090.48ms, mfu 26.20%
iter 47240: loss 3.1704, time 5081.33ms, mfu 26.23%
iter 47250: loss 3.2484, time 5078.29ms, mfu 26.26%
iter 47260: loss 2.9150, time 5080.80ms, mfu 26.28%
iter 47270: loss 3.0870, time 5098.75ms, mfu 26.30%
iter 47280: loss 3.3785, time 5093.69ms, mfu 26.31%
iter 47290: loss 3.1272, time 5096.53ms, mfu 26.32%
iter 47300: loss 3.0736, time 5100.87ms, mfu 26.33%
iter 47310: loss 3.2458, time 5103.66ms, mfu 26.33%
